order_book_id,symbol,abbrev_symbol,round_lot,sector_code,sector_code_name,industry_code,industry_name,listed_date,issue_price,de_listed_date,type,exchange,board_type,status,special_type,trading_hours,market_tplus
000001.XSHE,平安银行,PAYH,100,Financials,金融,J66,货币金融服务,1991-04-03,40.0,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000002.XSHE,万科A,WKA,100,RealEstate,房地产,K70,房地产业,1991-01-29,1.0,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000004.XSHE,国华网安,GHWA,100,HealthCare,医疗保健,I65,软件和信息技术服务业,1990-12-01,1.0,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000005.XSHE,ST星源,STXY,100,Industrials,工业,N77,生态保护和环境治理业,1990-12-10,10.0,0000-00-00,CS,XSHE,MainBoard,Active,Other,"09:31-11:30,13:01-15:00",1
000006.XSHE,深振业A,SZYA,100,RealEstate,房地产,K70,房地产业,1992-04-27,10.0,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000007.XSHE,*ST全新,*STQX,100,RealEstate,房地产,K70,房地产业,1992-04-13,1.0,0000-00-00,CS,XSHE,MainBoard,Active,StarST,"09:31-11:30,13:01-15:00",1
000008.XSHE,神州高铁,SZGT,100,Industrials,工业,C37,铁路、船舶、航空航天和其他运输设备制造业,1992-05-07,7.9,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000009.XSHE,中国宝安,ZGBA,100,Industrials,工业,S90,综合,1991-06-25,3.0,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000010.XSHE,美丽生态,MLST,100,Industrials,工业,E48,土木工程建筑业,1995-10-27,1.0,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
000011.XSHE,深物业A,SWYA,100,RealEstate,房地产,K70,房地产业,1992-03-30,3.6,0000-00-00,CS,XSHE,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
