,ConsumerDiscretionary,ConsumerStaples,Energy,Financials,HealthCare,Industrials,InformationTechnology,Materials,RealEstate,TelecommunicationServices,Utilities
0,SQJT,GZMT,XAGF,XYZQ,TRT,ZHJZ,YWLN,BGGF,BLFZ,ZGLT,GDDL
1,YQJF,QDPJ,ZHYF,ZGRS,YLYY,NFHK,LCXX,HLHS,LDKG,FZCM,CTNY
2,GQJT,SXFJ,LAHN,XHBX,CCGX,WCDL,LXJM,BGGF,,,GTDL
3,MDJT,YLGF,ZGSH,NYYH,HDYY,SYZG,JAKJ,ZJHJ,,,ZNDL
4,ZGZM,HDJT,ZGSY,JTYH,ZFSW,JFKJ,HKWS,HLSN,,,HNGJ
5,CAQC,WLY,YKNY,ZGTB,HRYY,ZHGD,GLD,ZJKY,,,
6,FYBL,SHFZ,ZGSH,ZGPA,HRSJ,YTSD,BFHC,TSGF,,,
7,HEZJ,CQPJ,SXJM,GSYH,AEYK,ZLZK,DHGF,BFXT,,,
8,HYQC,GJGJ,ZMNY,PFYH,PZH,XGJX,GEGF,ZGJS,,,
9,CCQC,LZLJ,,GDZQ,BYS,SCLQ,KDXF,WXHX,,,
10,ZHSF,YHGF,,DFCF,XHC,ZGDH,SLW,DFYH,,,
11,HQCA,,,THS,FXYY,SFKG,ZXTX,LYMY,,,
12,XYGF,,,NBYH,HLSW,SGJT,HSDZ,GFLY,,,
13,BYD,,,GFZQ,SHYY,ZGJJ,ZHKJ,LBJT,,,
14,,,,PAYH,,ZGZC,JDFA,JXTY,,,
15,,,,HTZQ,,DFDQ,YYWL,RSSH,,,
16,,,,JSYH,,HFDL,SYKJ,,,,
17,,,,BJYH,,ZGJZ,BXRJ,,,,
18,,,,FZZQ,,ZGZY,LJLN,,,,
19,,,,GDYH,,ZGZT,,,,,
20,,,,ZGYH,,DQTL,,,,,
21,,,,XYYH,,SHJC,,,,,
22,,,,ZXYH,,HLYY,,,,,
23,,,,MSYH,,ZGGH,,,,,
24,,,,ZXZQ,,ZGHX,,,,,
25,,,,HXYH,,ZGTJ,,,,,
26,,,,HTZQ,,ZHXF,,,,,
27,,,,ZSYH,,TBDG,,,,,
28,,,,ZSZQ,,YGDY,,,,,
29,,,,NJYH,,HCJS,,,,,
