,sh.600104,sz.000800,sh.601238,sz.000333,sh.601888,sz.000625,sh.600660,sh.600690,sh.600741,sh.601633,sh.600760,sz.000069,sh.601799,sz.002594,sh.600519,sh.600600,sh.600809,sh.600887,sz.002311,sz.000858,sz.000895,sh.600132,sz.000596,sz.000568,sz.002304,sh.600803,sh.601808,sh.601699,sh.600028,sh.601857,sh.600188,sh.601088,sz.000983,sh.601898,sh.601377,sh.601628,sh.601336,sh.601288,sh.601328,sh.601601,sh.601318,sh.601398,sh.600000,sh.601788,sz.300059,sz.300033,sz.002142,sz.000776,sz.000001,sh.601688,sh.601939,sh.601169,sh.601901,sh.601818,sh.601988,sh.601166,sh.601998,sh.600016,sh.600030,sh.600015,sh.600837,sh.600036,sh.600999,sh.601009,sh.600085,sz.002603,sz.000661,sz.000963,sz.300122,sh.600276,sz.000999,sz.300015,sh.600436,sh.600332,sz.002001,sh.600196,sz.002007,sh.601607,sh.600372,sh.600029,sz.000338,sh.600031,sz.002202,sz.002179,sh.600233,sz.000157,sz.000425,sh.600039,sh.600115,sz.002352,sh.600018,sh.601800,sh.601766,sh.600875,sh.600893,sh.601668,sh.601618,sh.601390,sh.601006,sh.600009,sh.601100,sh.601111,sh.601117,sh.601186,sz.000768,sh.600089,sz.300274,sz.300124,sz.300014,sz.000977,sz.002475,sz.002459,sz.002415,sz.002410,sz.002371,sz.002236,sz.002241,sz.002230,sh.600460,sz.000063,sh.600570,sz.000733,sz.000725,sh.600588,sh.600183,sh.600845,sh.601012,sh.600019,sh.600426,sh.600010,sh.600489,sh.600585,sh.601899,sz.000877,sh.600111,sh.600176,sz.002648,sz.002271,sh.603993,sz.002460,sz.002601,sh.600362,sz.002493,sh.600048,sh.600606,sh.600050,sz.002027,sh.600795,sh.600674,sh.600886,sh.600023,sh.600011
2023-01-09,0.14684963,0.44869328,0.2856779,0.33452702,0.9104519,0.7961378,0.46774483,0.334198,0.7135887,0.95728016,0.75426674,0.56715775,1.0027208,0.36143494,0.07497978,1.0252256,0.81376743,0.324605,0.6523514,0.28805447,0.39183235,1.2741232,0.98521805,0.5838833,0.49979115,0.854722,0.6234045,0.71230984,0.3496275,0.25083256,0.6725359,0.2330122,0.68460464,0.8531618,0.5267067,0.70456314,0.31962395,0.7560682,0.19730186,0.18871307,-0.26949692,0.114191055,-0.21882343,0.5259123,0.6623678,0.89099026,0.4955063,0.13359356,-0.014801025,0.15536213,0.060559273,0.26857567,0.6620569,0.7716589,0.70357513,-0.28260517,0.43405056,0.024284363,0.027292252,-0.056239128,0.20530319,0.04547882,-0.005214691,0.2497158,0.5188284,0.6152458,0.65732,0.93408585,0.8983698,0.46390724,0.31616497,0.6794796,0.4256506,0.1801014,-0.018265724,0.7445736,0.9432211,0.38095474,0.52592945,0.71433926,0.241292,0.48552608,0.4923563,0.6314411,1.045577,0.48277187,0.6909876,1.0904989,0.8638687,0.5283861,0.5909462,0.71494484,-0.001332283,0.5645304,0.3532772,0.6410074,1.0159273,0.54216385,0.14102173,0.32149315,0.971282,0.7409773,0.74225044,0.60060596,0.5538435,0.3792572,0.8712883,0.91375256,1.1299534,0.50249195,1.2147751,1.1783447,0.47034836,1.0516882,1.0287523,0.6266041,0.98370457,0.414073,0.4507799,0.19859314,0.7952757,0.7324896,1.01056,1.0006285,0.6654749,0.9005194,0.76766014,0.46772385,0.8960533,2.0392017,0.3737297,-0.09718418,0.83993435,0.93053627,0.02331829,0.76351357,0.97625256,0.9370203,0.6396694,0.6345854,0.45097637,0.17999935,0.6420746,0.457942,0.43610096,0.68355083,0.98478127,1.4428797,0.044769287,0.7673979,0.6472168,1.1390276
2023-01-10,0.24855614,0.58200264,0.4772148,0.36448956,0.9120264,0.91637516,0.5648737,0.33606052,0.7413063,1.1212788,0.803174,0.64407253,1.0607309,0.41484165,0.16818714,1.0498552,0.9830942,0.39060593,0.7887144,0.3838768,0.35675716,1.3017197,1.0367002,0.64349747,0.51239014,0.8747959,0.6863098,0.8044071,0.3400545,0.27222347,0.7992201,0.30012608,0.8437872,0.9552126,0.6283226,0.7162819,0.39821243,0.7658081,0.28417206,0.25202656,-0.25141048,0.22018051,-0.13784504,0.6164055,0.7940798,1.0523071,0.56045437,0.27503777,0.09131813,0.21257973,0.0956583,0.348238,0.83119106,0.7855282,0.7769728,-0.10493374,0.52488613,-0.016230583,0.11257553,0.033659935,0.3183956,0.106497765,0.18404198,0.30796432,0.5102339,0.66588116,0.75775623,0.99148464,0.9215584,0.5000906,0.32415485,0.72539043,0.47481346,0.20844746,0.0970974,0.7257557,0.9732208,0.323843,0.60900116,0.8178654,0.35565853,0.5876827,0.5643892,0.7562771,1.0418148,0.58952713,0.783967,1.1527128,0.9191227,0.64965725,0.68324757,0.8305893,0.1945715,0.67383194,0.4929495,0.680563,1.2164698,0.6655035,0.24696445,0.42966747,1.1113081,0.80064774,0.88583755,0.7145796,0.74581623,0.4819889,1.0612144,0.9944763,1.2879791,0.6437044,1.2445297,1.2832489,0.56593037,1.104557,1.1458025,0.71128273,1.0577574,0.61594105,0.5840759,0.3747368,0.8643093,0.85338783,1.0702991,1.0603342,0.81436825,1.0198917,0.8708658,0.5635929,0.9735136,2.0870562,0.34769726,-0.04550934,0.9152479,1.0132236,0.25331783,0.85644627,1.01336,0.9469185,0.7758684,0.7491398,0.56368256,0.29401016,0.7074919,0.52325916,0.47423458,0.7665758,1.05476,1.4368906,0.10602856,0.7535124,0.72284317,1.1694193
2023-01-11,0.27873898,0.5862913,0.41304874,0.45271206,0.9948206,0.88486385,0.571826,0.3757248,0.7444277,0.9772749,0.82969856,0.72531796,1.0484934,0.42757607,0.2093935,1.0719128,1.0004206,0.43877983,0.77429867,0.47839832,0.43101597,1.3671627,1.1132812,0.70366955,0.5998764,0.91172314,0.7212906,0.9013319,0.40263462,0.34022236,0.85275173,0.42639542,0.88959694,0.995348,0.6609154,0.8200855,0.48250675,0.787096,0.32299042,0.3233595,-0.12190628,0.22648335,-0.10111332,0.6463442,0.8306608,1.0405455,0.5654745,0.28513718,0.10555267,0.35113811,0.1350584,0.31278706,0.8018522,0.85729885,0.81280804,-0.09944725,0.5574713,0.041049957,0.1276226,0.055036545,0.30119514,0.22483921,0.23859501,0.34867287,0.5170021,0.6194477,0.8010721,1.0649395,0.91259766,0.51161003,0.30870247,0.7306204,0.46756554,0.22805882,0.12280941,0.7462568,0.9448166,0.39021397,0.59145164,0.8403845,0.39521885,0.5955305,0.56552887,0.70715046,0.994586,0.62336636,0.8087168,1.1858158,0.9507828,0.63621235,0.7162237,0.8557968,0.12659931,0.67100716,0.41545486,0.72156334,1.1650982,0.6193857,0.28422737,0.46694946,1.1496878,0.8693428,0.8730707,0.73688126,0.7193241,0.38841057,1.025754,0.9871807,1.308444,0.66088104,1.2559004,1.2391081,0.5353174,1.1150141,1.1781311,0.7006731,1.0602903,0.64580536,0.5785141,0.37299156,0.9452057,0.7661276,1.0593357,1.1578817,0.8216286,1.0403976,0.86155605,0.6495962,1.0177488,2.1044674,0.4227991,0.04404545,0.94241333,1.0725956,0.25297165,0.9335165,1.0019445,0.9799881,0.8380089,0.8018284,0.5999327,0.35085392,0.70346165,0.5956993,0.54599667,0.7993679,1.0896835,1.4588089,0.10714722,0.7745571,0.72400856,1.1930265
2023-01-12,0.2806139,0.5702896,0.36601448,0.4450426,1.0034666,0.95866585,0.52946854,0.4407606,0.8169737,1.0436687,0.6897354,0.66502,1.0408058,0.4390459,0.21418953,1.0434971,1.0237188,0.47550488,0.8182726,0.4506445,0.4460001,1.3111467,1.1825447,0.74035835,0.61481094,0.895175,0.68704796,0.9348879,0.4279728,0.31108952,0.86352444,0.4979229,0.93835354,1.0418787,0.7660036,0.92653465,0.5508709,0.8121643,0.357543,0.33111954,-0.14986992,0.23264408,-0.06651878,0.705101,0.8511696,1.1416225,0.66367054,0.44518661,0.2404108,0.41214275,0.14818096,0.39127636,0.8784561,0.8892946,0.7600527,-0.04658985,0.5513592,0.09579182,0.21391487,0.11036301,0.33603668,0.21889877,0.33060455,0.34121895,0.5604334,0.52195835,0.844347,0.9656582,0.8436775,0.4453497,0.24537086,0.7024269,0.3815775,0.2034502,0.15670109,0.81037426,0.8608074,0.31699944,0.5405054,0.78245735,0.4934969,0.5593233,0.54369164,0.659709,0.99179745,0.53204155,0.80163956,1.1457253,0.91382885,0.59386444,0.7675972,0.7939329,0.14540958,0.65364075,0.36870098,0.65737534,1.0579948,0.6490412,0.27451992,0.4339962,1.1212978,0.8566189,0.84087276,0.6951208,0.59297085,0.4047804,1.0135002,0.98439693,1.2628174,0.6482792,1.2305346,1.1872482,0.53273964,0.9604616,1.1764812,0.6770792,1.0827389,0.51933956,0.63775253,0.44863033,0.95761967,0.7431021,1.0139542,1.1258907,0.72231865,0.92773724,0.8740196,0.63091373,1.0553131,2.103117,0.36995983,0.09815884,0.94584084,1.0456743,0.3037939,0.8942423,1.049717,1.0053005,0.7265854,0.73630524,0.55440044,0.37423706,0.6934166,0.6023216,0.57045937,0.8015957,1.0489006,1.443779,0.063108444,0.71806526,0.6110182,1.1637678
2023-01-13,0.19821453,0.5502796,0.35114288,0.37600422,0.85587025,0.7848015,0.4607067,0.33864307,0.725235,1.004673,0.60046196,0.6067343,0.9967699,0.409194,0.11082077,0.9869938,1.0039539,0.37166882,0.7491436,0.4294901,0.31666374,1.3224773,1.1595869,0.70945835,0.5778656,0.9091511,0.57647705,0.86072063,0.31113338,0.18836498,0.7470045,0.39197636,0.8718071,0.8965502,0.6568203,0.8309202,0.43927383,0.7678261,0.26084423,0.26884842,-0.29195023,0.14434719,-0.20138836,0.5895376,0.7153559,1.035408,0.5470371,0.35988808,0.104496,0.32373905,0.00057029724,0.28832436,0.74714375,0.7680893,0.6703396,-0.15879822,0.43418503,-0.011264801,0.16505527,0.04722786,0.20785522,0.063632965,0.13716221,0.24488926,0.42341518,0.4577713,0.68593216,0.8319597,0.7883806,0.34593296,0.16893959,0.57168007,0.34664536,0.10089302,0.112389565,0.693676,0.73930836,0.21248817,0.4462185,0.65786743,0.44324398,0.4570837,0.5089655,0.5873823,1.0078468,0.44375992,0.6396456,1.1418104,0.83286285,0.588994,0.718173,0.7017288,0.071344376,0.630888,0.33922005,0.5316162,0.9862051,0.48987484,0.13052177,0.30447006,0.9781151,0.73300457,0.7923374,0.6011658,0.5355749,0.3049307,0.98683167,0.91216373,1.2484951,0.48714828,1.1401787,1.2192907,0.46569443,0.9044428,1.0377789,0.6400795,1.0876465,0.50634384,0.6128769,0.27808666,0.9255457,0.7619486,0.9917774,0.98122597,0.6121416,0.804019,0.8742237,0.5624304,0.9703808,2.0437155,0.30562878,-4.196167e-05,0.8533783,0.93861294,0.2778883,0.74694824,0.998477,0.9077759,0.6413431,0.7665529,0.54752636,0.2542429,0.68359756,0.5089369,0.48632908,0.7275009,1.071743,1.4181309,-0.08662796,0.69591904,0.53875256,1.0520048
2023-01-16,0.22908688,0.55774784,0.3650589,0.42740154,0.9276762,0.9411621,0.55084324,0.38915062,0.73923016,1.0682659,0.6926203,0.5672655,1.0471239,0.41097355,0.12738705,1.0354176,0.99735165,0.41647243,0.68437195,0.40829659,0.2681446,1.2737131,1.1950846,0.78027344,0.62956905,0.8817339,0.5776243,0.95913696,0.29776287,0.25391006,0.805048,0.4514084,1.0169916,0.99567604,0.80885506,0.96551037,0.54417515,0.7844305,0.31812763,0.251626,-0.25036812,0.22337246,-0.14729977,0.7941055,0.8221903,1.0856428,0.69492817,0.4404621,0.15391922,0.39034557,0.009178162,0.3220539,0.84319973,0.7852211,0.65383244,-0.14486885,0.46160698,-0.007344246,0.24698448,0.09519482,0.300066,0.08265495,0.3190918,0.31292152,0.5064335,0.47790432,0.7781019,0.8937149,0.8350935,0.30000782,0.051769257,0.59431934,0.3600998,0.11986256,0.092886925,0.7000942,0.737216,0.21608448,0.5224457,0.70884514,0.4389801,0.48099232,0.5198622,0.6076155,0.93401337,0.5023594,0.7152271,1.1155205,0.8763628,0.5792198,0.66346645,0.68897533,0.06917,0.6672611,0.45924473,0.5301857,0.99990654,0.5338087,0.15300179,0.34404373,1.0226955,0.8172922,0.81544113,0.5415125,0.59682083,0.3465624,1.087821,0.9269037,1.216362,0.4514513,1.0780516,1.2628727,0.42281246,0.82147884,1.0904245,0.6216688,0.9565315,0.497447,0.5959625,0.35468674,0.9250717,0.7738161,0.9299936,0.969079,0.5315075,0.82940865,0.8640194,0.6032543,1.0298128,2.0660353,0.41806126,0.025244713,0.94159794,0.95502186,0.4410267,0.8075495,1.008666,0.88755417,0.7347927,0.7721033,0.5736122,0.43482018,0.81885433,0.51577187,0.47731018,0.735466,1.0074501,1.4101448,-0.06071663,0.644557,0.57416725,1.0778666
2023-01-17,0.34814644,0.59250164,0.507185,0.4392166,0.9266176,1.1677189,0.6317167,0.39328003,0.77679825,1.2142944,0.67060375,0.5024605,1.073226,0.484787,0.15650177,1.0349255,1.0166168,0.44574928,0.7357378,0.38632298,0.22284985,1.283865,1.165348,0.72930145,0.663105,0.80177593,0.57957745,0.91287327,0.2542801,0.2028141,0.7578535,0.41577816,0.9846468,0.98220825,0.9201517,0.9942608,0.5512676,0.7951317,0.3650341,0.21321774,-0.28076363,0.16903019,-0.1835823,0.8446474,0.8017988,1.1759491,0.699172,0.49043083,0.22835445,0.44561386,0.0151052475,0.34177113,0.92988205,0.82791615,0.6378441,-0.06663799,0.40309334,0.03620243,0.35487747,0.053647995,0.3969555,0.08828449,0.3918991,0.31013966,0.5325365,0.45918941,0.7796936,0.8442564,0.8283129,0.28855896,0.0452919,0.5799799,0.30573845,0.07260895,0.09795952,0.7622328,0.77071476,0.21339989,0.5452461,0.59952545,0.49695778,0.48419762,0.55357075,0.6317377,0.9569626,0.514946,0.70268726,1.0091524,0.78926945,0.56285954,0.71294403,0.69622993,0.096912384,0.662508,0.4981718,0.57851696,1.0330782,0.51981163,0.13078976,0.2953539,0.9975767,0.737257,0.8085356,0.5101614,0.6313257,0.41402626,1.175231,0.95397186,1.1973124,0.39197063,0.9870863,1.3175497,0.41745663,0.83120346,1.0640488,0.57810783,0.9833851,0.39201355,0.6095009,0.33568668,0.94274426,0.8622751,0.95175076,0.8980179,0.47773457,0.8328724,0.867095,0.5602875,1.0337029,2.0892553,0.42446518,-0.060566902,0.929101,0.917367,0.47101307,0.77226067,0.9783335,0.8594246,0.6429701,0.7567177,0.5984001,0.47592545,0.7981863,0.434865,0.54012585,0.6697664,1.0002241,1.4182997,-0.08149433,0.5691242,0.564723,1.070941
2023-01-18,0.27002907,0.5118923,0.44534206,0.4142332,0.8201237,1.012227,0.55595684,0.3712492,0.7194691,1.1353502,0.568429,0.5060377,0.9632387,0.40277958,0.13682652,1.0071936,0.9988098,0.4107046,0.702693,0.38201523,0.25909424,1.2656784,1.1795187,0.7437954,0.60986805,0.83944225,0.58055305,1.0202379,0.30653477,0.2418871,0.915267,0.4319687,1.0662823,1.0426121,0.8517771,0.96159077,0.49766827,0.7528763,0.3016472,0.24801159,-0.2857628,0.13638687,-0.1854124,0.8091545,0.7446079,1.1012573,0.6608505,0.49862003,0.22759533,0.48156643,-0.0077409744,0.3278885,0.8360424,0.7787342,0.65807724,-0.07974529,0.47760487,0.07401848,0.2902813,0.07594395,0.35248756,0.10710335,0.35847378,0.32417488,0.6334162,0.3862753,0.7636614,0.8216505,0.768877,0.2434206,0.094231606,0.6314335,0.3238535,0.10859394,0.09076977,0.70120335,0.6613312,0.18209743,0.4894228,0.60907936,0.47545815,0.45716667,0.55123615,0.58742046,0.953702,0.4740219,0.6995268,1.0138979,0.73789406,0.56846046,0.673646,0.701108,0.106310844,0.6101589,0.47889805,0.55238914,1.0236683,0.4820919,0.12632656,0.22124767,1.0007772,0.7491417,0.81288433,0.49793148,0.61972904,0.39495468,1.1097431,0.924057,1.1790972,0.38744068,1.0085506,1.2800312,0.3623476,0.8218317,1.0657024,0.48971367,1.021162,0.37007332,0.66099644,0.3302126,0.84894466,0.75332355,0.9123039,0.963501,0.53689766,0.76792526,0.8500519,0.56119156,1.0026693,1.9864492,0.38153648,-0.034095764,0.8801956,0.823061,0.53257275,0.693696,1.0092955,0.9016695,0.6115942,0.7102146,0.5550003,0.48698807,0.76039696,0.49407005,0.5044985,0.7205801,0.96506214,1.4276752,-0.12369633,0.5232134,0.5193691,1.027606
2023-01-19,0.23823166,0.46963882,0.40904522,0.32229805,0.71409893,0.9936018,0.49107838,0.2684536,0.6875582,1.1116562,0.5604086,0.45774364,1.0021658,0.42741108,0.06895542,0.89130497,0.9497156,0.3242178,0.663764,0.34857082,0.15264416,1.2081451,1.1552839,0.68492126,0.56421185,0.8012972,0.5810623,0.98997116,0.2686777,0.16451263,0.8063221,0.3584919,1.0112638,0.9847288,0.771801,0.8015652,0.40855598,0.7351856,0.23998356,0.21237183,-0.38193607,0.07445717,-0.2705021,0.7521839,0.6652975,1.0395718,0.528677,0.4146757,0.13696766,0.31680393,-0.028241158,0.263793,0.78837204,0.7282629,0.65008545,-0.06956291,0.42371178,-0.021403313,0.19388008,-0.025564194,0.2536869,0.0018615723,0.2504301,0.2395134,0.49831963,0.4021597,0.7102289,0.7987175,0.6994724,0.22342491,0.073451996,0.5790434,0.24206924,0.044204712,0.076156616,0.6584015,0.58984375,0.15980053,0.41493988,0.5509834,0.42564964,0.43666077,0.48796558,0.5974293,0.91485214,0.5034485,0.6657181,0.98241997,0.76631355,0.5013571,0.61892223,0.66002655,0.090210915,0.5493717,0.38591385,0.513031,0.9988432,0.42160606,0.09448147,0.19089794,0.9558706,0.6415653,0.7778301,0.403018,0.513217,0.32743073,1.0764027,0.91284657,1.1716986,0.3710661,1.0168705,1.1981583,0.31694317,0.83259773,1.0113087,0.45184994,1.009119,0.37296867,0.6368046,0.28894615,0.8168707,0.78812313,0.9059572,0.8562479,0.53749275,0.7407713,0.79462814,0.5402508,0.97267914,1.9873562,0.30213642,-0.1454916,0.82316685,0.75552654,0.46632385,0.62901783,0.98667145,0.8049059,0.579195,0.7737036,0.5570288,0.46342278,0.7342987,0.38119698,0.43545055,0.71179676,0.9098797,1.4128237,-0.12442207,0.54067516,0.51563454,0.91729546
2023-01-20,0.22544765,0.399786,0.3911333,0.4250412,0.7892437,1.0020695,0.58025265,0.34262848,0.71752167,1.1526098,0.4806385,0.42563915,0.9609089,0.43877983,0.08191395,1.0237103,0.9644966,0.37522125,0.6229906,0.39544487,0.24497795,1.2948732,1.1971197,0.7870579,0.6232557,0.79639816,0.53547764,0.96606636,0.28677177,0.1849966,0.79891014,0.41205025,1.0538397,1.0075436,0.7545519,0.9155388,0.4017601,0.7019615,0.28754044,0.13438225,-0.4265623,0.107055664,-0.26198483,0.78911877,0.65527916,0.9880829,0.55838966,0.4193058,0.15050411,0.32952023,-0.028915405,0.25670433,0.85008144,0.7284765,0.66972446,-0.09538746,0.38654804,0.009404182,0.20129108,0.03399563,0.27404404,0.024930954,0.2743292,0.26794434,0.5986767,0.36609173,0.76946163,0.8064966,0.71345043,0.23061085,0.092865944,0.63805676,0.33284473,0.08883095,0.012765884,0.70721054,0.6642151,0.21825695,0.40202713,0.54174423,0.43625927,0.3754921,0.54203033,0.5399723,0.95844173,0.42294407,0.6556654,0.971406,0.77285385,0.5573988,0.65004635,0.5997782,0.040823936,0.57910633,0.36951065,0.52843094,0.97634125,0.45022678,0.100483894,0.26226234,0.99123764,0.67577076,0.76386166,0.42697334,0.49540997,0.37263775,1.0617151,0.9053068,1.1541224,0.285573,0.9516344,1.230278,0.34793282,0.7998266,0.98975563,0.46867085,0.9853773,0.30101967,0.613616,0.19229984,0.7830105,0.72799873,0.88631344,0.8362684,0.44786835,0.70869064,0.8067713,0.48936653,0.96764565,1.9773598,0.39223385,-0.16614914,0.8260832,0.7579899,0.4441929,0.629509,0.9466667,0.9042015,0.5488758,0.726676,0.4761057,0.3876772,0.62593555,0.3694334,0.4024334,0.6746807,0.8980541,1.4231472,-0.099264145,0.48943615,0.4715147,1.0452881
