,sh.600104,sz.000800,sh.601238,sz.000333,sh.601888,sz.000625,sh.600660,sh.600690,sh.600741,sh.601633,sh.600760,sz.000069,sh.601799,sz.002594,sh.600519,sh.600600,sh.600809,sh.600887,sz.002311,sz.000858,sz.000895,sh.600132,sz.000596,sz.000568,sz.002304,sh.600803,sh.601808,sh.601699,sh.600028,sh.601857,sh.600188,sh.601088,sz.000983,sh.601898,sh.601377,sh.601628,sh.601336,sh.601288,sh.601328,sh.601601,sh.601318,sh.601398,sh.600000,sh.601788,sz.300059,sz.300033,sz.002142,sz.000776,sz.000001,sh.601688,sh.601939,sh.601169,sh.601901,sh.601818,sh.601988,sh.601166,sh.601998,sh.600016,sh.600030,sh.600015,sh.600837,sh.600036,sh.600999,sh.601009,sh.600085,sz.002603,sz.000661,sz.000963,sz.300122,sh.600276,sz.000999,sz.300015,sh.600436,sh.600332,sz.002001,sh.600196,sz.002007,sh.601607,sh.600372,sh.600029,sz.000338,sh.600031,sz.002202,sz.002179,sh.600233,sz.000157,sz.000425,sh.600039,sh.600115,sz.002352,sh.600018,sh.601800,sh.601766,sh.600875,sh.600893,sh.601668,sh.601618,sh.601390,sh.601006,sh.600009,sh.601100,sh.601111,sh.601117,sh.601186,sz.000768,sh.600089,sz.300274,sz.300124,sz.300014,sz.000977,sz.002475,sz.002459,sz.002415,sz.002410,sz.002371,sz.002236,sz.002241,sz.002230,sh.600460,sz.000063,sh.600570,sz.000733,sz.000725,sh.600588,sh.600183,sh.600845,sh.601012,sh.600019,sh.600426,sh.600010,sh.600489,sh.600585,sh.601899,sz.000877,sh.600111,sh.600176,sz.002648,sz.002271,sh.603993,sz.002460,sz.002601,sh.600362,sz.002493,sh.600048,sh.600606,sh.600050,sz.002027,sh.600795,sh.600674,sh.600886,sh.600023,sh.600011
2023-02-08,0.2637186,0.76616573,0.64358807,0.4526453,0.4231453,0.5946636,0.35062408,0.5172157,0.66180706,0.8720169,1.023077,0.64512444,0.9591589,0.3339796,0.05706501,0.30342102,0.9492111,0.43762493,0.74584293,0.30049992,0.3099804,0.921319,1.0759668,0.66834736,0.44259834,0.7942791,0.5041857,1.1214037,0.43981075,-0.04600334,0.977479,0.12795544,0.9860897,0.79025745,0.7396202,0.4534874,0.46345806,0.8972292,0.1815157,0.17146301,-0.2584753,0.30846977,-0.13381672,0.3884859,1.1522255,1.337081,0.33066463,0.5161686,-0.05843067,0.5494623,0.12356472,0.21384811,0.782773,0.87084293,0.8283014,-0.3464327,0.5589771,-0.05623722,0.311718,-0.04031849,0.24953938,0.03568077,0.45923424,0.19816875,0.16549015,0.60481644,0.69727707,0.67836857,0.9953165,0.3736086,0.50215244,0.70600986,0.21540928,0.37974834,0.52826405,0.57397366,0.56851006,0.21277142,0.72546864,0.88312244,0.34714413,0.68995285,0.5943661,0.80051327,1.0606699,0.5614624,0.8365383,0.9289932,0.9049082,0.7699814,0.6841221,0.82697964,0.2098732,0.566206,0.72150517,0.7093811,1.3799686,0.74222946,0.16061306,0.14043999,1.02386,0.84187126,0.7444086,0.6084032,0.8755293,0.35268688,1.0403175,1.0113525,1.3460827,0.98372746,1.1205597,1.1796894,0.6597042,0.93761826,1.2655306,0.84188557,0.89099026,0.8073282,0.86316586,0.59758854,1.0725794,0.94962597,1.0730686,1.2022295,1.0591211,0.9964514,0.87325764,0.5940285,0.7980404,1.5312357,0.3771,0.2639084,1.0343513,1.0230532,0.5338259,0.83537674,1.0138435,0.8815031,1.1007433,1.2826424,0.8142805,0.5160837,0.7776842,0.5907402,0.57102776,0.8385229,1.0649824,1.1524897,0.21972084,0.4148569,0.5473547,0.6012001
2023-02-09,0.20302105,0.71145153,0.582036,0.3311224,0.620018,0.6253929,0.26854324,0.48260498,0.48986626,0.7702389,1.191515,0.5006399,1.0760517,0.4208851,-0.062485695,0.26299763,1.176753,0.41785812,0.7405844,0.28589535,0.38010883,0.9865637,1.092206,0.510417,0.47315598,1.0516319,0.7408619,0.7482166,0.2840767,0.084929466,0.9926939,0.2340641,1.0459061,0.78714466,0.74529266,0.6206436,0.39366436,0.7420454,0.16207981,0.3163786,-0.39030266,0.047122955,-0.24372768,0.6284113,1.1167536,1.3173981,0.38554096,0.46055412,0.21457767,0.6876192,0.040902138,0.09616661,0.7766247,0.6095123,0.5756092,-0.13188934,0.3573246,0.1981268,0.2096157,-0.11176872,0.4907074,-0.11936474,0.3848524,0.3041706,0.15452099,0.57947445,0.63059235,0.62784195,1.0251856,0.21588612,0.42563438,0.8804445,0.3222885,0.12796879,0.76732254,0.60005283,0.6277056,0.39514446,0.72072315,0.7939501,0.4681902,0.44910526,0.6484051,0.9529915,0.85838985,0.6247387,0.61336994,0.87210655,0.7152052,0.7439089,0.5341158,0.80520916,0.25909328,0.6996107,0.7131758,0.72021484,1.0954609,0.5788317,0.33021355,0.24801636,0.9999819,0.7408781,0.63207245,0.5082865,0.8739042,0.5415077,1.0299921,1.0886793,1.4592772,0.88182163,1.1519804,1.3440628,0.65975285,0.9151058,1.3566961,0.9329128,0.86814404,1.0268135,0.7919979,0.5693178,1.1555119,1.1741772,1.0306482,1.2622509,0.71742344,0.8454733,0.9700651,0.46225548,0.7462568,1.4779072,0.49906158,0.067510605,1.0465889,1.136528,0.8402653,0.7932787,0.9668875,0.9808426,1.0917215,1.3032675,0.8852062,0.5456972,0.7612982,0.48705578,0.68950653,0.8795395,1.1765432,1.1130314,-0.101839066,0.32631016,0.60816574,0.58016014
2023-02-10,0.18647861,0.74645996,0.5364971,0.33934212,0.5866852,0.54219055,0.22759724,0.47315502,0.4841404,0.73252296,1.2188244,0.55902004,1.0410986,0.41757202,-0.0753603,0.2905426,1.1765242,0.4854641,0.7429333,0.30787468,0.35582066,1.0232677,1.0719843,0.5276661,0.45337963,1.0421286,0.71205425,0.8361149,0.32427597,0.07150364,1.0148687,0.25000286,1.0971403,0.8088398,0.6837311,0.6077852,0.41889668,0.75341797,0.18471527,0.30939484,-0.31114578,0.08462715,-0.22797966,0.5949173,1.1066093,1.2771626,0.40024662,0.48813152,0.20699596,0.7210665,0.08503723,0.09237671,0.7897816,0.62613964,0.62273216,-0.1719904,0.38178635,0.18636703,0.20431137,-0.12838745,0.48436356,-0.09403801,0.38816547,0.32626343,0.15279007,0.59737015,0.6275377,0.6488867,1.0551424,0.19892693,0.446023,0.8631115,0.3298645,0.14298153,0.78370094,0.58055305,0.5895548,0.38862133,0.7215166,0.8193245,0.44457436,0.48480797,0.6130705,0.953722,0.8881254,0.6105223,0.64293385,0.8606901,0.71425056,0.7690506,0.5942631,0.8626423,0.26136303,0.6367121,0.6643839,0.7077532,1.0683355,0.5709934,0.40976524,0.2603588,0.9932747,0.79128647,0.657217,0.5110636,0.90172005,0.5406189,1.0097208,1.0444765,1.4912558,0.8732195,1.1847963,1.3130255,0.66287327,0.9292774,1.3990355,0.95456123,0.9067688,1.075737,0.8247013,0.63621044,1.1674366,1.1151752,1.0458593,1.2581263,0.7476263,0.85488224,0.9647608,0.5115471,0.7656355,1.4597092,0.52877426,0.175663,1.0235538,1.1444616,0.8061781,0.82933617,1.0223246,0.9983635,1.1549997,1.3172235,0.89134216,0.57684803,0.7242918,0.49648285,0.7024479,0.92786217,1.1715145,1.0979166,-0.1055069,0.27337742,0.6194782,0.5507498
2023-02-13,0.16885948,0.70157814,0.5744381,0.3478756,0.6316595,0.6172466,0.30696106,0.4762602,0.5590954,0.77110386,1.2231808,0.5421848,1.0610685,0.45899296,-0.04988575,0.33356,1.183465,0.49136734,0.70804214,0.30431747,0.42351627,1.0167341,1.0767202,0.51828766,0.47633362,1.040451,0.7706108,0.7995634,0.31659603,0.09578419,1.027627,0.2536564,1.1063795,0.8085718,0.74081993,0.68669987,0.42215633,0.722806,0.16337109,0.332839,-0.31696892,0.067204475,-0.2647028,0.65747166,1.1409426,1.2932577,0.4113903,0.4577303,0.23384476,0.6954012,0.11327076,0.069540024,0.81040955,0.61849976,0.61810684,-0.14622402,0.32302856,0.2036705,0.20945549,-0.1265297,0.5020447,-0.08616352,0.38541794,0.32693958,0.14698601,0.61620617,0.6474514,0.6522713,1.063982,0.23191357,0.44612026,0.90410805,0.35826492,0.14153862,0.8127804,0.6374626,0.6263046,0.41349506,0.713995,0.83433247,0.45620632,0.49822235,0.6761246,0.944787,0.8508253,0.6103687,0.6545925,0.82884693,0.7010832,0.74462605,0.5761347,0.81046677,0.26278114,0.69877243,0.7696419,0.7008982,1.0824699,0.57259846,0.35471153,0.25343895,1.0263462,0.75023556,0.6555395,0.4658041,0.8736143,0.5813818,1.091774,1.0894833,1.483118,0.8390484,1.1780624,1.3475981,0.71412754,0.93432903,1.3608828,0.9453993,0.95458794,1.0481472,0.85851574,0.64349747,1.155201,1.1676483,1.0323181,1.2776794,0.7322397,0.8698187,1.0117273,0.4918928,0.81787205,1.5464602,0.50226784,0.11072731,1.0406904,1.1356153,0.8659096,0.83779144,1.0267334,0.9955187,1.1131115,1.3329248,0.91154003,0.55530167,0.77500725,0.48625946,0.7142668,0.91349983,1.1960449,1.1295834,-0.09349537,0.27346516,0.5897846,0.5831537
2023-02-14,0.20963764,0.781209,0.56730366,0.36986446,0.66586304,0.60398674,0.29496956,0.45946217,0.55562496,0.7653341,1.1901875,0.5652695,1.0694017,0.43823814,-0.05535984,0.32186604,1.1976795,0.49904728,0.7415638,0.34515476,0.44219112,1.0357904,1.1072168,0.59546375,0.4731903,1.0742121,0.7572422,0.7875538,0.32969952,0.12551403,1.0522375,0.2794485,1.0972853,0.8124485,0.73806,0.6245899,0.43788528,0.7645006,0.21479225,0.32720375,-0.31631088,0.10243416,-0.19148636,0.68243885,1.1854725,1.2934141,0.37823677,0.44914532,0.28004265,0.71366596,0.12894535,0.11061096,0.838254,0.6205673,0.61449814,-0.16969013,0.34681034,0.212821,0.26303673,-0.08848095,0.5042267,-0.07796669,0.41668892,0.3113861,0.1586771,0.6325159,0.659379,0.64221764,1.0941706,0.2351532,0.43388462,0.88729,0.35651684,0.14265347,0.7902527,0.6352949,0.61601925,0.46470642,0.72006893,0.8539858,0.47043514,0.54399395,0.6634054,0.94235325,0.88169765,0.61880875,0.69544315,0.8533726,0.7548094,0.78819466,0.6137085,0.8164711,0.27828693,0.6952324,0.7190819,0.72698784,1.0584927,0.5872593,0.34919167,0.26103497,1.0274439,0.7730503,0.6983032,0.53346825,0.84912586,0.56335926,1.08986,1.0764923,1.4834518,0.91381073,1.1852303,1.3114805,0.7011347,0.95974064,1.3406143,0.98509693,0.9298639,1.0800362,0.8798628,0.6536045,1.1645536,1.1584196,1.0495129,1.2421465,0.7928953,0.91384506,1.009573,0.52011013,0.8326254,1.552784,0.50609875,0.19423294,1.053894,1.1376581,0.84270763,0.8197212,1.0206137,0.9933634,1.1436415,1.3869343,0.92300034,0.5569687,0.77411366,0.568635,0.69820213,0.9393625,1.1967888,1.1451645,-0.1380434,0.2966919,0.5911293,0.5252962
2023-02-15,0.18582249,0.78764725,0.5697746,0.40450287,0.6462431,0.6419811,0.32367516,0.48561573,0.5306177,0.78822803,1.2323914,0.5348129,1.0484972,0.46179104,-0.024020195,0.32533073,1.2371702,0.5034113,0.7486944,0.33947086,0.4105997,1.0206842,1.1384649,0.5931587,0.5103626,1.1103239,0.7684183,0.84951496,0.33535004,0.14555359,1.0766096,0.29577637,1.1450195,0.84875107,0.769557,0.6732683,0.46612835,0.69953537,0.2009716,0.35644245,-0.29829597,0.09016514,-0.2355833,0.6954241,1.1494608,1.3040752,0.47097778,0.49437714,0.31498432,0.70649624,0.090361595,0.08191204,0.83943844,0.6009121,0.60488033,-0.14432526,0.3349638,0.20608139,0.2914505,-0.11405659,0.5404854,-0.050369263,0.4533186,0.33952618,0.21564293,0.57463646,0.6658964,0.6244154,1.1210642,0.20114708,0.42220116,0.9104719,0.4069252,0.14263344,0.76169777,0.6527548,0.6315203,0.42731667,0.743701,0.8585167,0.49266148,0.5179138,0.677618,0.9993534,0.8917818,0.6615143,0.7334461,0.85815334,0.76271343,0.7656851,0.5909033,0.83089924,0.28538895,0.6882963,0.74351597,0.6970568,1.0839357,0.60758114,0.31628418,0.2748642,1.0447168,0.77674484,0.71096516,0.4991541,0.9073391,0.60880566,1.1362238,1.1098976,1.4824753,0.8550892,1.1524534,1.365552,0.6722193,0.92617893,1.377677,0.9937954,0.9155054,1.0566349,0.8742933,0.62525654,1.1892099,1.1795721,1.020709,1.2608366,0.7372885,0.8637781,1.0280094,0.52590084,0.8418379,1.5423174,0.5501728,0.14879131,1.064084,1.1733837,0.9121418,0.86576176,1.0554914,0.99951935,1.1645136,1.3990355,0.9712429,0.6236868,0.80149174,0.56904316,0.73065376,0.9126158,1.1605139,1.1273689,-0.12261486,0.2842903,0.6354122,0.55365276
2023-02-16,0.22764874,0.7536526,0.6635084,0.41286182,0.7004795,0.78599834,0.4050827,0.5085764,0.5697727,0.8621044,1.2240896,0.52474403,1.103405,0.52438736,-0.006611824,0.3756323,1.2271433,0.46796513,0.74994755,0.3380289,0.41327667,1.0526161,1.1688643,0.57681274,0.54949856,1.0596409,0.7952509,0.83005714,0.3242588,0.16752148,1.0568829,0.27976227,1.1217737,0.8731613,0.8370867,0.69462013,0.44941998,0.68642235,0.23237419,0.35588074,-0.30569458,0.07001495,-0.25939846,0.72853947,1.1918774,1.3572006,0.4697113,0.47694016,0.3664713,0.69153404,0.068995476,0.09419727,0.87777805,0.6427889,0.58134747,-0.066049576,0.35028648,0.19752312,0.30930328,-0.13063812,0.55529785,-0.022346497,0.5033245,0.351223,0.2585287,0.61080456,0.6732712,0.63723564,1.1175804,0.216856,0.38706017,0.8929577,0.4276743,0.111364365,0.75450325,0.6724558,0.64567757,0.4051361,0.7476301,0.8108721,0.5072336,0.531826,0.7037077,0.9964113,0.86314774,0.69087696,0.68498325,0.86124134,0.7377815,0.7788353,0.58852863,0.79209423,0.29407406,0.7176933,0.82024384,0.7061043,1.1236525,0.61201286,0.2700987,0.2859354,1.042305,0.7248764,0.68177414,0.47049522,0.91260624,0.6582813,1.1705837,1.1478815,1.4987297,0.8410921,1.1588078,1.4240904,0.71558,0.9499712,1.3721819,0.97802734,0.9723406,1.032589,0.8810997,0.58806515,1.1715565,1.2235117,0.97435,1.2287903,0.7353983,0.8774357,1.0652704,0.55532074,0.85546017,1.6321106,0.5195255,0.08979893,1.0619211,1.14783,0.9506302,0.8891239,1.0349798,0.9917984,1.1665697,1.3978901,1.0078964,0.64811325,0.84676266,0.5749216,0.722106,0.8443556,1.1525965,1.1803713,-0.08577919,0.2697668,0.6157236,0.5934887
2023-02-17,0.1906786,0.70202065,0.5946274,0.39508343,0.64509296,0.6164818,0.31327057,0.47509003,0.52649593,0.7670269,1.1912727,0.510602,1.0608149,0.43476295,-0.060224533,0.33628845,1.1934834,0.47472572,0.73402786,0.29771614,0.37529373,1.0414076,1.1179543,0.5439615,0.48154926,1.0662003,0.74348545,0.84499454,0.33563614,0.131773,1.0720024,0.31212807,1.1162643,0.83769035,0.7144394,0.63393116,0.35884285,0.6827946,0.1798029,0.28038692,-0.3296814,0.065532684,-0.3028431,0.63729477,1.1336784,1.2716656,0.44090176,0.45336342,0.2682085,0.655283,0.078920364,0.013520241,0.76041603,0.5829592,0.5740566,-0.16659355,0.29152966,0.17405796,0.23139095,-0.19954014,0.48645592,-0.12553501,0.38119698,0.35311413,0.24852753,0.5724611,0.6421976,0.58754635,1.1183252,0.18459511,0.3869686,0.8621988,0.37681675,0.13724709,0.77420235,0.61805725,0.5648546,0.35798836,0.7383909,0.7943678,0.4880228,0.48173523,0.6814327,0.98437023,0.8297825,0.6196308,0.7102699,0.8355522,0.68231297,0.77627563,0.5704975,0.78084564,0.21089649,0.6751938,0.77749825,0.67705536,1.0756903,0.55708313,0.28735828,0.21859455,1.0320711,0.76241016,0.67626095,0.4356737,0.8721733,0.6134281,1.1224327,1.0886927,1.4908733,0.8092642,1.1333094,1.3728704,0.64593506,0.9137354,1.3852415,0.9525776,0.8968668,1.0113468,0.8637848,0.5802889,1.1431379,1.1458406,0.95275784,1.2038975,0.69494057,0.87829304,0.9911375,0.51955414,0.7929077,1.5281076,0.48164654,0.13145924,1.0160627,1.1256065,0.9338436,0.82268333,1.0118265,0.96249676,1.1626263,1.3451757,0.91124344,0.62235546,0.8026228,0.53824043,0.681653,0.87444305,1.1353827,1.1010904,-0.12565422,0.23536777,0.59063053,0.5732765
2023-02-20,0.1667223,0.71995544,0.5871649,0.3684349,0.6242924,0.57791615,0.30420113,0.4600544,0.52570724,0.7279453,1.1658154,0.51932335,1.050394,0.43012714,-0.07289219,0.31195068,1.2056704,0.47978592,0.7272196,0.34472466,0.36370945,1.0412064,1.1192808,0.5402527,0.47175884,1.0372696,0.71800613,0.87194824,0.29186344,0.11113453,1.0696964,0.27622128,1.079114,0.8064842,0.71109676,0.5659094,0.37064075,0.71303463,0.15311813,0.24960613,-0.39012337,0.03575325,-0.2973032,0.5959177,1.1096659,1.2440739,0.38792992,0.42845535,0.21760559,0.63610363,0.01072979,0.044698715,0.76606274,0.55855465,0.56961346,-0.2308178,0.29729843,0.1180706,0.21546936,-0.23810005,0.4816494,-0.107453346,0.37720966,0.30210114,0.26179695,0.578269,0.63408375,0.5943823,1.118206,0.18687057,0.42039013,0.8278637,0.39816666,0.12584591,0.75016403,0.5969963,0.5314846,0.36249352,0.7049427,0.7768822,0.47740364,0.46573257,0.6540861,0.9694462,0.83780956,0.6343241,0.71916294,0.83267975,0.67581844,0.7950926,0.54261017,0.7754488,0.22405243,0.6101723,0.7253494,0.67683506,1.0772324,0.5463772,0.26931667,0.22489929,1.0147486,0.7361212,0.68190575,0.43130684,0.8488178,0.5397749,1.0589037,1.0317097,1.4798613,0.793623,1.1107635,1.3250647,0.64576054,0.90554714,1.4267416,0.9299278,0.89890385,0.99594116,0.8450384,0.5710325,1.1243753,1.0986052,0.9617853,1.1840992,0.7102041,0.9095297,0.9799948,0.49739456,0.7697611,1.5073395,0.48910236,0.15005016,1.017457,1.1248417,0.89971066,0.7975235,1.0059385,0.9587307,1.1344013,1.3618517,0.91140556,0.6088829,0.7836399,0.5416393,0.64504147,0.86943245,1.0980177,1.0720892,-0.13795185,0.23018551,0.5912018,0.5341282
2023-02-21,0.12613964,0.663249,0.61025715,0.34591103,0.6068964,0.6064005,0.31344795,0.44317913,0.5307741,0.79333115,1.1401691,0.5161934,1.0184546,0.4440136,-0.08093548,0.32953548,1.2117243,0.50269794,0.73421574,0.3382368,0.3643427,1.0827351,1.1125402,0.5573187,0.4755354,1.0560789,0.71804905,0.85069466,0.31751823,0.12854958,1.0666304,0.25097752,1.1017237,0.84501076,0.70933914,0.5971985,0.3648548,0.6810522,0.13906002,0.22977352,-0.40563488,0.028657913,-0.34375,0.63878727,1.1121864,1.230999,0.42237377,0.43549728,0.22648525,0.648098,0.034835815,0.04496765,0.76234245,0.5656128,0.5421753,-0.21558952,0.2686739,0.114705086,0.20005894,-0.22880363,0.50943375,-0.113274574,0.37893867,0.3773985,0.2583704,0.57754517,0.6416626,0.58388996,1.1606188,0.19423008,0.37606525,0.8357401,0.42345142,0.0939455,0.7551117,0.61973286,0.572423,0.3510151,0.7325735,0.79880524,0.47602367,0.47401142,0.6481409,0.95973206,0.8202143,0.6273327,0.69207,0.827878,0.69264126,0.79467106,0.53447914,0.765131,0.21484947,0.61106205,0.7904854,0.67044544,1.0500984,0.5256882,0.25858498,0.19750023,0.9969082,0.7142515,0.6805382,0.4168949,0.84371185,0.5806675,1.0965109,1.0479202,1.4732437,0.7552147,1.1177359,1.335062,0.61926556,0.9242983,1.3964329,0.91894245,0.8871937,0.9958973,0.80160046,0.58593845,1.0903845,1.1010132,0.96793556,1.1712866,0.649806,0.8477049,0.97486305,0.48387718,0.7900677,1.5041819,0.45449734,0.12656498,0.96270084,1.1283712,0.9097452,0.82299995,1.0333052,0.9492626,1.1343508,1.3188553,0.94010925,0.5958233,0.75655365,0.49535275,0.66852665,0.8891001,1.0867519,1.0828524,-0.16249657,0.26188087,0.587739,0.5738497
