,sh.600104,sz.000800,sh.601238,sz.000333,sh.601888,sz.000625,sh.600660,sh.600690,sh.600741,sh.601633,sh.600760,sz.000069,sh.601799,sz.002594,sh.600519,sh.600600,sh.600809,sh.600887,sz.002311,sz.000858,sz.000895,sh.600132,sz.000596,sz.000568,sz.002304,sh.600803,sh.601808,sh.601699,sh.600028,sh.601857,sh.600188,sh.601088,sz.000983,sh.601898,sh.601377,sh.601628,sh.601336,sh.601288,sh.601328,sh.601601,sh.601318,sh.601398,sh.600000,sh.601788,sz.300059,sz.300033,sz.002142,sz.000776,sz.000001,sh.601688,sh.601939,sh.601169,sh.601901,sh.601818,sh.601988,sh.601166,sh.601998,sh.600016,sh.600030,sh.600015,sh.600837,sh.600036,sh.600999,sh.601009,sh.600085,sz.002603,sz.000661,sz.000963,sz.300122,sh.600276,sz.000999,sz.300015,sh.600436,sh.600332,sz.002001,sh.600196,sz.002007,sh.601607,sh.600372,sh.600029,sz.000338,sh.600031,sz.002202,sz.002179,sh.600233,sz.000157,sz.000425,sh.600039,sh.600115,sz.002352,sh.600018,sh.601800,sh.601766,sh.600875,sh.600893,sh.601668,sh.601618,sh.601390,sh.601006,sh.600009,sh.601100,sh.601111,sh.601117,sh.601186,sz.000768,sh.600089,sz.300274,sz.300124,sz.300014,sz.000977,sz.002475,sz.002459,sz.002415,sz.002410,sz.002371,sz.002236,sz.002241,sz.002230,sh.600460,sz.000063,sh.600570,sz.000733,sz.000725,sh.600588,sh.600183,sh.600845,sh.601012,sh.600019,sh.600426,sh.600010,sh.600489,sh.600585,sh.601899,sz.000877,sh.600111,sh.600176,sz.002648,sz.002271,sh.603993,sz.002460,sz.002601,sh.600362,sz.002493,sh.600048,sh.600606,sh.600050,sz.002027,sh.600795,sh.600674,sh.600886,sh.600023,sh.600011
2023-01-03,0.019094467,0.59397316,0.26367283,0.3465147,0.87245274,0.95911694,0.085989,0.5246706,0.49223328,0.848299,0.54636,0.65167904,1.3040857,0.6861801,0.2623644,0.77315235,0.81178856,0.35973358,0.70737267,0.2342186,0.21912575,1.1141129,1.0342464,0.43838596,0.6327839,0.94850063,0.32612133,0.8380337,0.5898609,0.23878479,0.6316843,-0.22953987,0.9532385,0.5910959,0.5438576,0.81734943,0.5332947,0.82912636,0.2762909,0.32111835,0.03793335,0.31560135,-0.023324013,0.38497734,0.7273216,0.9946852,0.4392643,-0.09297657,0.11850071,-0.02162838,0.018981934,0.2618885,0.36057377,0.908411,0.76080894,-0.16018486,0.62073994,0.31602764,-0.13380623,0.14706135,0.14506435,0.14354897,-0.044503212,0.19371033,0.4509573,0.8583002,0.62906647,0.99913406,0.68283176,0.3541603,0.55957985,0.8345175,0.38663197,0.44684315,0.26368332,0.8552456,0.88401127,0.5113268,0.6267977,0.5865135,0.03157997,0.06727886,0.32231998,0.79016685,0.88442993,0.12893963,0.47388268,0.8882513,0.8792839,0.37356186,0.7638712,0.69284344,0.07065773,0.5180311,0.34795094,0.67627525,1.153945,0.6041031,0.31345177,0.27318478,0.86615086,0.64806557,0.48055553,0.5624752,0.51366997,0.16583252,1.390811,1.0347061,1.12113,0.74293137,1.1508055,0.994565,0.50191784,1.1389799,1.1250668,0.53396225,0.8948946,0.6265135,0.29078865,0.27179146,0.84724617,0.7718296,0.84538555,1.1444302,0.45092487,1.2612438,0.73699474,0.44588852,0.6297159,1.9324312,0.30215454,-0.088825226,0.70459366,0.834712,0.17259312,0.43308544,1.0403948,0.7148409,0.7513046,0.8532858,0.59553814,-0.020181656,0.74166775,0.4111948,0.4731369,0.75537014,1.2253733,1.439395,0.017259598,0.4974556,0.7014265,1.090004
2023-01-04,0.21073341,0.7150755,0.5952635,0.38132095,0.97343826,1.1777029,0.2857275,0.5469456,0.5604944,1.0240974,0.81045055,0.7210922,1.4441328,0.81642723,0.392622,0.87957,1.0244751,0.41916752,0.8448744,0.47411823,0.23497295,1.2918234,1.1759043,0.6395626,0.8504629,1.0600891,0.563468,1.0861654,0.5676136,0.26161098,0.95548344,-0.026287079,1.2526083,0.8397751,0.7683773,0.86107254,0.66496754,0.8076248,0.2636156,0.49515152,0.15469646,0.31210518,-0.0034217834,0.7120285,0.9537983,1.3077269,0.5267439,0.11323929,0.23924637,0.17986965,0.018417358,0.3458643,0.59369373,1.0076437,0.7815409,-0.04048729,0.69465065,0.35926247,0.024394035,0.19617653,0.36810684,0.20046711,0.18117523,0.28422642,0.494689,0.74772453,0.8012552,1.2178249,0.87821007,0.46443844,0.6736727,0.99048233,0.5459261,0.47461987,0.32991123,0.7989683,1.0001078,0.48336792,0.8491907,0.6670046,0.17668724,0.28484154,0.53894806,1.0603065,0.92934704,0.30420494,0.60504246,0.9048166,0.96603394,0.5943289,0.9178171,0.95719147,0.17012787,0.68783283,0.61048985,0.8125601,1.3574829,0.83119583,0.38240814,0.45482922,1.0193768,0.70394516,0.7536745,0.8020601,0.7861891,0.2864523,1.7122221,1.3103724,1.4688997,1.0451183,1.3711767,1.2279768,0.6963453,1.3703938,1.4209814,0.7241335,1.0943842,1.0505705,0.65352917,0.582139,1.2089434,1.0449686,0.9828806,1.4905195,0.79267025,1.4852772,1.035737,0.6302023,0.7850256,2.0560207,0.44536686,-0.10143757,0.90447617,0.96278095,0.6153965,0.5586891,1.2761202,0.7781191,1.0602751,1.2063208,0.89455223,0.28849316,0.9193983,0.47080803,0.5322504,1.0032892,1.3912153,1.5414,0.14425945,0.6100874,0.7523031,1.1223001
2023-01-05,0.09539509,0.64022636,0.38828182,0.4137144,0.95936394,1.0661526,0.20712948,0.48190498,0.4841299,0.8202448,0.68867016,0.7944374,1.3684206,0.75377464,0.37299252,0.86749554,0.9557657,0.4946909,0.7752552,0.48768806,0.24619007,1.236887,1.136673,0.5753441,0.8492193,1.0345774,0.5954704,1.1535254,0.66698647,0.25140285,0.94942856,0.09674454,1.2808609,0.8538351,0.7187147,0.8948555,0.70329094,0.88251305,0.29313564,0.47253323,0.27958488,0.4091425,0.041283607,0.61950684,0.98459053,1.3019991,0.49686718,0.10495663,0.31819534,0.2006321,0.076426506,0.22475147,0.59487057,1.0334034,0.78089905,0.0025367737,0.67353535,0.3650713,0.031554222,0.15921879,0.31994343,0.32450104,0.22741795,0.2848463,0.36777306,0.7649412,0.826354,1.1778488,0.858263,0.42110157,0.65123844,0.96936893,0.45428467,0.5249691,0.3132,0.7809973,0.8534317,0.3935747,0.62598896,0.6818762,0.23967743,0.28265762,0.44083977,0.8280678,0.8666191,0.28042507,0.60011387,0.8918114,0.9060097,0.5368128,0.8187971,0.888567,0.07017803,0.5250139,0.46134567,0.7963238,1.246067,0.73395157,0.4419489,0.45493984,0.98328876,0.7229748,0.68989277,0.71967125,0.4932747,0.2469244,1.5470629,1.2343607,1.3512325,0.97045803,1.2787066,1.0583525,0.6460972,1.3182364,1.3595448,0.6391592,0.9837551,0.90314674,0.48441792,0.57868385,1.2001238,0.7549181,0.99325943,1.3994398,0.616066,1.3373852,0.9145107,0.674943,0.81936836,1.970768,0.38046932,0.07051754,0.8661308,1.0742474,0.48450565,0.5432434,1.1766472,0.77816963,1.0108938,1.0611143,0.74488735,0.24729633,0.80714893,0.5663252,0.5829201,0.94235325,1.4026289,1.4933586,0.09801006,0.65312195,0.7198162,1.1402559
2023-01-06,0.122133255,0.63546085,0.485528,0.43903255,1.03796,1.0639791,0.26594925,0.5635395,0.5569954,0.86086273,0.5810604,0.7500715,1.5224009,0.93033886,0.4065714,0.93545914,1.0908966,0.4939232,0.75674915,0.48131657,0.28267288,1.2808218,1.3656301,0.7260046,0.9211683,1.0790024,0.5149851,1.0984688,0.5529394,0.30215454,0.9927149,0.09909439,1.2086964,0.8420849,0.8782635,0.97009945,0.7602968,0.8422432,0.3302641,0.47762203,0.249259,0.35032368,0.041693687,0.7032347,0.9693651,1.3754263,0.56393623,0.25055408,0.33621502,0.29627705,0.0072278976,0.29023933,0.6608372,0.9864063,0.8057928,-0.048207283,0.65559006,0.41271877,0.20856476,0.17368126,0.41247368,0.33051682,0.35100937,0.2815647,0.5363455,0.63551617,0.8137255,1.1111279,0.8516941,0.34491253,0.5200796,0.93782234,0.5211134,0.39343166,0.31834984,0.7600479,0.7186279,0.23859787,0.51455307,0.68987465,0.23268986,0.25053406,0.3982935,0.7956734,0.9422436,0.15412617,0.55840874,0.84432507,0.9542694,0.4822321,0.7712126,0.7664099,0.067643166,0.5672951,0.30830574,0.71932507,1.070548,0.72248745,0.37473297,0.5140133,0.90649986,0.72059345,0.61005974,0.60883427,0.30666924,0.16407299,1.5571527,1.2714434,1.3123255,0.8631935,1.2847023,1.0703726,0.50422,1.1933222,1.299242,0.6025448,1.0064507,0.8516865,0.5223732,0.562829,1.125906,0.79381275,0.9011383,1.269453,0.5356083,1.2021666,1.0002985,0.58592033,0.88177204,2.039133,0.2816372,-0.009554863,0.7564573,0.90373707,0.48185635,0.5137024,1.1372747,0.8178654,0.9508562,1.1125174,0.73827744,0.24643135,0.7570667,0.6056528,0.5778055,0.8583813,1.4048233,1.4947929,-0.08950329,0.5382786,0.62352085,1.0793076
2023-01-09,-0.057364464,0.47883606,0.43879128,0.27894974,0.8206806,0.95776176,0.19286823,0.48949718,0.4237957,0.6348238,0.21732712,0.6218672,1.4857082,0.8718939,0.2235775,0.81934357,0.9954548,0.31164265,0.7008047,0.4107151,0.04101944,1.1903543,1.2903976,0.67619514,0.8229189,1.0227232,0.30869293,0.8078604,0.43880177,0.05536461,0.7671547,-0.19193554,1.1080036,0.58499146,0.5405474,0.77563286,0.54857063,0.7461462,0.14876938,0.21410179,0.0013942719,0.22812462,-0.063996315,0.43118382,0.7594919,1.2490559,0.3261938,0.018499374,-0.0053482056,0.02946949,-0.1419239,0.14488602,0.36445045,0.7798128,0.63851357,-0.21711063,0.48019123,0.2885275,-0.13565826,0.05321026,0.16104794,0.13717842,0.015151978,0.0707922,0.47422123,0.59213924,0.61093044,0.9742613,0.67193985,0.13018608,0.4792328,0.90174675,0.43111134,0.25801468,0.24596786,0.52647114,0.46209145,0.104537964,0.38380432,0.5599642,0.130167,0.06667614,0.24214458,0.66030884,1.0037203,0.010325432,0.41984177,0.7892227,0.8555565,0.40598965,0.70465946,0.60378265,-0.019789696,0.48172188,0.20145512,0.6035843,0.9303436,0.5536337,0.23895359,0.33743286,0.79599,0.523633,0.5794525,0.40947533,0.24822521,0.03066349,1.5086145,1.1795864,1.2686396,0.6606064,1.1883173,0.97477436,0.33430862,1.1137314,1.2146101,0.47759247,0.931839,0.7413969,0.35875225,0.36647892,1.0542517,0.67270374,0.811883,1.0906906,0.36672783,1.0405807,0.911355,0.4281416,0.6750803,1.7299433,0.10723972,-0.22736645,0.6134834,0.752923,0.37565517,0.37817192,1.1544294,0.6407814,0.74594593,1.1295881,0.6996994,0.072423935,0.5999994,0.36151695,0.4291315,0.6701908,1.4000349,1.3822603,-0.16377544,0.41118717,0.4958229,0.9873419
2023-01-10,-0.04623604,0.49083042,0.486619,0.2199192,0.80939484,0.8914118,0.13509178,0.34268856,0.4223032,0.6460819,0.46761322,0.56441784,1.4314699,0.8390665,0.30718136,0.864275,1.04105,0.28226948,0.6429653,0.3929472,-0.023241997,1.2500572,1.3740177,0.7239752,0.9336519,1.0472193,0.3731203,1.0552769,0.55832005,0.22016907,1.0535173,-0.032399178,1.2819462,0.6877203,0.8905306,0.8095064,0.5829315,0.77054596,0.10729408,0.2550316,-0.008662224,0.22987747,-0.15210152,0.7725706,0.9220114,1.3705206,0.4503641,0.2849493,0.13390732,0.19017029,-0.1753912,0.22559738,0.5351591,0.8346596,0.73528767,-0.29632473,0.5189276,0.26141167,0.16051483,0.040833473,0.39735317,0.1343584,0.24200153,0.20780277,0.4679308,0.5343056,0.6641102,1.0692692,0.727787,0.1496048,0.4515257,0.8076525,0.369874,0.26710796,0.21548271,0.44850254,0.47389507,0.10671711,0.54145813,0.6521921,0.001581192,0.18626499,0.24075699,0.75140095,0.90474606,0.13524246,0.5401697,0.8562546,0.9051466,0.2590351,0.74541855,0.6921797,-0.034158707,0.4881754,0.2669878,0.6072569,1.0214233,0.50077534,0.23727608,0.2686224,0.94773865,0.59893894,0.68675995,0.4187479,0.31185913,0.031746864,1.5084095,1.161561,1.2372007,0.5511637,1.1568089,1.0659914,0.364645,0.97598267,1.2750177,0.47198772,0.89581585,0.7241316,0.3513384,0.37094402,1.0967588,0.76389694,0.8174925,0.9425421,0.3076372,1.041585,0.86980724,0.39583397,0.7425127,1.922514,0.41370773,-0.2334137,0.8498945,0.7827749,0.6170654,0.46372604,1.1464453,0.57071877,0.91467094,1.1234426,0.7685337,0.38262558,0.77634716,0.25374126,0.36408806,0.6950846,1.3704796,1.4206104,-0.10669422,0.38822365,0.6162157,0.9762325
2023-01-11,0.12651348,0.63062096,0.63616276,0.23385334,0.7936888,1.2928915,0.26137257,0.36011887,0.4473896,0.83773804,0.44347382,0.5079689,1.5253935,1.14604,0.22429562,0.84035206,0.9944353,0.22831249,0.5088072,0.33121204,-0.04390526,1.1665678,1.2998314,0.69314384,0.908309,0.9536209,0.28023338,0.9937439,0.39767933,0.10036564,0.8916235,-0.20240879,1.1352787,0.6230478,0.9637346,0.7490244,0.49053,0.71067524,0.06920624,0.21546555,-0.105018616,0.16179562,-0.17935371,0.7801657,0.8223276,1.2686977,0.38661385,0.33706665,0.093141556,0.17028427,-0.21218014,0.14134407,0.63926125,0.79989433,0.6461458,-0.2045412,0.46405125,0.1820755,0.1748085,0.011318207,0.41814804,0.06975269,0.29397964,0.16819859,0.3835659,0.55820847,0.6638222,0.9668417,0.76034355,0.1829195,0.36423397,0.75830746,0.43770218,0.24205971,0.12591743,0.5695467,0.5095787,-0.026499748,0.4763813,0.5114584,-0.023033142,0.10057831,0.25458145,0.7574463,0.95694256,0.08235359,0.39465904,0.74647045,0.7556572,0.19888973,0.6389265,0.50667,-0.10579491,0.47891235,0.25958443,0.5022545,0.90618515,0.41523743,0.12787056,0.23591423,0.7486582,0.40960884,0.56053257,0.2058096,0.19042587,-0.016591072,1.548768,1.1741838,1.2182302,0.39098263,1.0354147,1.0327044,0.21653843,0.95864487,1.2113752,0.2726946,0.8084097,0.53776646,0.3640566,0.30715942,0.99608994,0.75287724,0.749115,0.83339596,0.20592594,1.0070486,0.89409447,0.28594685,0.7103567,1.8717813,0.30152512,-0.34592152,0.7325659,0.57838345,0.51331615,0.38405895,0.98151207,0.55988026,0.7408371,1.1512508,0.74551964,0.35847378,0.56112385,0.22476006,0.35993195,0.5381212,1.3373947,1.3675919,-0.22490788,0.37982655,0.54048157,0.9091282
2023-01-12,0.09161568,0.481822,0.52216053,0.2886963,0.87866974,1.1488218,0.15680122,0.35857677,0.48998928,0.6331606,0.37443733,0.6874027,1.5268869,0.99457264,0.37388134,0.9115076,0.9965792,0.35617065,0.6012001,0.45122147,-0.046067238,1.3130331,1.2568178,0.8126764,0.8529806,1.0847406,0.32724476,1.3163366,0.5262861,0.35103607,1.131774,0.16194439,1.3931551,0.85651684,0.9017801,0.8944254,0.66136456,0.7271061,0.08384609,0.2500677,0.09145069,0.17760563,-0.049993515,0.7263651,0.8526659,1.2833033,0.518178,0.5098934,0.14378452,0.2765684,-0.16892338,0.3110342,0.53514194,0.77129364,0.72886944,-0.20414162,0.6041746,0.33139706,0.22283459,0.07254982,0.4297037,0.15937233,0.2752905,0.24155712,0.73259926,0.7036829,0.6460209,1.064105,0.6303129,0.13539314,0.48151493,0.7343197,0.41540813,0.47723007,0.26624393,0.57252026,0.45856953,0.057338715,0.4313135,0.6299591,0.07204914,0.2513895,0.34554482,0.7344532,1.0271568,0.05000305,0.4032278,0.82773876,0.77422047,0.27247906,0.71837044,0.5570431,-0.018380165,0.5219717,0.20706654,0.5952072,0.9178953,0.46289062,0.23692703,0.17549133,0.79947376,0.5542517,0.7005358,0.32852364,0.27504826,0.07960129,1.6000795,1.1801424,1.1803255,0.5280838,1.1527195,1.1652069,0.30675697,0.92291355,1.2108307,0.32995033,1.0188189,0.6855602,0.39914417,0.37524414,0.96026516,0.6966772,0.7415676,0.8671074,0.33913422,0.94822884,0.8727894,0.46814632,0.78624535,1.8572264,0.33199024,-0.31547928,0.6521807,0.6153126,0.62543774,0.31442738,1.0013342,0.5861435,0.8271332,1.0773726,0.68390465,0.4345503,0.8067751,0.49522686,0.4640398,0.6901722,1.3907309,1.3259735,-0.13128757,0.3422928,0.5737152,0.9416313
2023-01-13,0.05365944,0.56770897,0.4942398,0.1892004,0.79493046,1.123415,0.2359457,0.3560753,0.44618797,0.6809416,0.33003616,0.6469059,1.481451,1.1004248,0.2867689,0.69443226,1.0312004,0.29464436,0.6531763,0.38080215,-0.055148125,1.1895189,1.1162109,0.6899681,0.79714966,0.99969864,0.42242908,1.1812687,0.5400162,0.29629993,0.98679733,0.03203869,1.2953148,0.8756952,0.8958416,0.8476267,0.5301676,0.7191591,0.12558174,0.27661228,0.008642197,0.21056938,-0.09555149,0.6949549,0.8073015,1.2216654,0.40736485,0.35875893,0.124622345,0.17737198,-0.19373703,0.22118664,0.5612602,0.8176079,0.7624817,-0.23122597,0.5306845,0.26798058,0.06880283,0.064211845,0.296834,0.10073185,0.13843155,0.18641376,0.5514679,0.7143221,0.6919527,0.96498966,0.67533875,0.06642532,0.37896347,0.6975727,0.34790134,0.28957748,0.22642994,0.48630524,0.42340946,-0.05259514,0.37120152,0.56958866,0.08121967,0.18401623,0.31585312,0.72393894,0.7330265,0.08146095,0.43255234,0.7610035,0.74855137,0.20769787,0.6708441,0.56411743,0.0077342987,0.50480556,0.18346119,0.5857382,1.0064316,0.44322968,0.16323662,0.035305977,0.8330126,0.5026579,0.7083788,0.2858057,0.17830467,0.02301693,1.5954638,1.2121973,1.2930145,0.5333214,1.188653,1.1256266,0.3809147,0.96171665,1.1330128,0.3453493,0.9122429,0.7285423,0.49870968,0.39357567,0.97049236,0.76506615,0.72880936,0.930707,0.29328537,0.9629431,0.8842182,0.5715256,0.6757879,1.8761826,0.16291142,-0.36002827,0.695138,0.5571089,0.6390753,0.29842758,1.0065947,0.53138924,0.86045456,1.1669617,0.65608215,0.42416286,0.86153126,0.33136368,0.4383297,0.8419275,1.388176,1.3881559,-0.044866562,0.45038033,0.6183243,0.82111835
2023-01-16,0.08018589,0.4633236,0.4287243,0.3292179,0.82149124,1.0376482,0.25435543,0.3888111,0.4103098,0.7246704,0.26632118,0.57797337,1.4843903,1.1074543,0.45764065,0.9131031,1.1777773,0.3665743,0.56989384,0.47528458,0.07786465,1.2803955,1.3702021,0.84157467,0.9517412,0.974,0.348279,1.0550861,0.5467539,0.2828598,0.93259335,0.08679199,1.2432556,0.8114395,0.9029064,0.79976463,0.53178215,0.72791576,0.12757492,0.16841221,-0.04434967,0.20077515,-0.09914112,0.6843004,0.79079247,1.2613716,0.4340105,0.4610939,0.12282276,0.1945839,-0.16738701,0.17990685,0.62281704,0.82471657,0.7631321,-0.19750214,0.46709633,0.244483,0.16803741,0.0045490265,0.2955284,0.09390259,0.31525707,0.14212322,0.6891451,0.61758995,0.73693657,1.0626783,0.77722263,0.18607807,0.43500805,0.8964367,0.5617285,0.3960743,0.12455654,0.5609007,0.37189388,0.046185493,0.23744011,0.5199547,0.03641224,0.12971878,0.29719162,0.6157036,1.0344524,0.10136509,0.42013073,0.6474333,0.69655895,0.37121487,0.577816,0.43685436,-0.099386215,0.40710068,-0.0068922043,0.5699644,0.83145714,0.40331745,0.1519823,0.08193207,0.7580309,0.482996,0.5973015,0.23563004,0.043276787,0.028336525,1.5060358,1.2064943,1.1864204,0.33944702,1.0723629,1.0871668,0.27882576,0.98548317,0.9706068,0.3329506,0.78015614,0.5602522,0.2711792,0.2889166,0.9270458,0.62141705,0.6954956,0.8105488,0.08512211,0.89186096,0.7912979,0.43570423,0.6556902,1.7787342,0.1723423,-0.24245071,0.64451885,0.6199455,0.41780758,0.31666756,1.0058031,0.5753708,0.7136011,1.0858078,0.5652828,0.3581543,0.6789074,0.32422352,0.3787136,0.6695776,1.3509893,1.3242302,-0.1539259,0.42192936,0.4994278,0.98052406
