,sh.600104,sz.000800,sh.601238,sz.000333,sh.601888,sz.000625,sh.600660,sh.600690,sh.600741,sh.601633,sh.600760,sz.000069,sh.601799,sz.002594,sh.600519,sh.600600,sh.600809,sh.600887,sz.002311,sz.000858,sz.000895,sh.600132,sz.000596,sz.000568,sz.002304,sh.600803,sh.601808,sh.601699,sh.600028,sh.601857,sh.600188,sh.601088,sz.000983,sh.601898,sh.601377,sh.601628,sh.601336,sh.601288,sh.601328,sh.601601,sh.601318,sh.601398,sh.600000,sh.601788,sz.300059,sz.300033,sz.002142,sz.000776,sz.000001,sh.601688,sh.601939,sh.601169,sh.601901,sh.601818,sh.601988,sh.601166,sh.601998,sh.600016,sh.600030,sh.600015,sh.600837,sh.600036,sh.600999,sh.601009,sh.600085,sz.002603,sz.000661,sz.000963,sz.300122,sh.600276,sz.000999,sz.300015,sh.600436,sh.600332,sz.002001,sh.600196,sz.002007,sh.601607,sh.600372,sh.600029,sz.000338,sh.600031,sz.002202,sz.002179,sh.600233,sz.000157,sz.000425,sh.600039,sh.600115,sz.002352,sh.600018,sh.601800,sh.601766,sh.600875,sh.600893,sh.601668,sh.601618,sh.601390,sh.601006,sh.600009,sh.601100,sh.601111,sh.601117,sh.601186,sz.000768,sh.600089,sz.300274,sz.300124,sz.300014,sz.000977,sz.002475,sz.002459,sz.002415,sz.002410,sz.002371,sz.002236,sz.002241,sz.002230,sh.600460,sz.000063,sh.600570,sz.000733,sz.000725,sh.600588,sh.600183,sh.600845,sh.601012,sh.600019,sh.600426,sh.600010,sh.600489,sh.600585,sh.601899,sz.000877,sh.600111,sh.600176,sz.002648,sz.002271,sh.603993,sz.002460,sz.002601,sh.600362,sz.002493,sh.600048,sh.600606,sh.600050,sz.002027,sh.600795,sh.600674,sh.600886,sh.600023,sh.600011
2023-01-03,0.082681656,0.36749268,0.32771778,0.12151337,0.5996828,0.89020157,0.3797598,0.2885456,0.5991812,0.82423687,0.59710884,0.5523796,1.1062346,0.3406124,0.05581093,0.6738062,0.75648594,0.2565403,0.76052666,0.19409561,0.269763,1.0241394,0.9927702,0.3955431,0.53787804,0.8934345,0.49804306,0.76121235,0.5394516,0.19155693,0.60893726,-0.05292511,0.7698355,0.6928711,0.40665913,0.699173,0.4829321,0.8266611,0.20031452,0.14202118,-0.04329586,0.29369164,-0.025820732,0.4153366,0.71803,1.190095,0.29337215,-0.11473179,0.026158333,0.074240685,0.07297993,0.30937672,0.47734547,0.82573223,0.80388355,-0.1212244,0.6054764,0.19994259,-0.21904945,0.09882069,0.19305229,0.12594032,-0.09530735,0.17892647,0.46410465,0.6535711,0.6839256,1.033701,0.8634596,0.2591915,0.49176025,0.8273001,0.38871193,0.35704517,0.15853214,0.6491184,0.7621479,0.56688404,0.48065662,0.6735878,0.07123089,0.20355034,0.18342304,0.6448326,0.69417953,0.2815199,0.40736008,1.0104313,0.95013237,0.18702888,0.5482006,0.66482353,0.09309864,0.39818382,0.3275175,0.6458616,1.1429338,0.5753193,0.43412685,0.38117027,0.8928499,0.47929096,0.51838017,0.63449955,0.48469448,0.19758987,0.80309486,0.96470165,1.0542688,0.56646156,1.0920191,1.02143,0.5271025,1.0223494,0.8003149,0.5813608,0.80646324,0.44392967,0.23001766,0.224967,0.80673695,0.708231,0.8641901,0.9714842,0.39518356,0.9038601,0.8179102,0.46598148,0.5440235,1.7882328,0.37024975,-0.08512211,0.66405296,0.6150322,0.03259182,0.40839195,0.9010401,0.8588495,0.45407486,0.5257511,0.53806114,-0.13046837,0.7043953,0.43024063,0.56109905,0.6926899,1.0838318,1.432107,0.0018901825,0.6782732,0.7580118,1.0046434
2023-01-04,0.1755743,0.5573168,0.630146,0.2537241,0.72679996,1.0859594,0.457942,0.32532883,0.6742487,1.0275106,0.8274565,0.6408701,1.2543917,0.56849,0.15734673,0.7675104,0.99861145,0.28189182,0.9628258,0.36876965,0.29926682,1.1860723,1.1671638,0.5780544,0.69325733,1.0887346,0.6526871,0.9804001,0.53173923,0.26038837,0.8172779,0.050513268,1.0122166,0.9292364,0.6564102,0.7533045,0.56410027,0.828146,0.23119259,0.29260063,0.043198586,0.31138325,-0.0027446747,0.7108383,1.035142,1.5119,0.332798,0.14731216,0.23055267,0.20245075,0.026666641,0.34592056,0.67605495,0.9391184,0.8228817,-0.01258564,0.6146879,0.21024895,-0.065060616,0.2185812,0.3839941,0.20124435,0.046393394,0.29222584,0.49294853,0.61995983,0.87595844,1.2345495,0.9950342,0.32408428,0.610816,0.95303345,0.530179,0.3901348,0.21610165,0.6312895,0.8219414,0.48204422,0.74204063,0.7537613,0.19130325,0.3707342,0.4086876,0.9412546,0.76051235,0.46542645,0.51181126,1.1100502,1.0772343,0.36192226,0.7570934,0.89081955,0.25148964,0.64953613,0.6261215,0.808671,1.3796196,0.69561195,0.47684383,0.6069584,1.0666428,0.62615776,0.82959557,0.85365677,0.770874,0.33835697,1.223423,1.2020645,1.3814478,0.95703316,1.3288708,1.2514887,0.770051,1.2479134,1.0919523,0.78366184,1.0092955,0.8443651,0.60174465,0.56037426,1.0690088,0.99396133,1.0182085,1.1803675,0.70561886,1.1267319,1.0362921,0.61592865,0.7361288,2.0014553,0.4902544,-0.052210808,0.8392477,0.79881287,0.48194027,0.5597067,1.1421852,0.957921,0.8132849,0.86324215,0.79509735,0.12436676,0.88768864,0.47414303,0.5900593,0.9018526,1.237669,1.5403233,0.11215687,0.7810888,0.84635353,1.11833
2023-01-05,0.13700485,0.4347744,0.49490166,0.28113747,0.69983196,0.953949,0.4981327,0.37707043,0.6382122,0.8383484,0.7319069,0.70274353,1.2521524,0.4844904,0.17746449,0.7826166,0.96641064,0.37082005,0.93189716,0.4005108,0.36972713,1.1759968,1.1364269,0.60477924,0.692152,1.0740709,0.6729679,0.97521114,0.6064205,0.28817654,0.8867245,0.19837761,1.0782518,0.94755554,0.5669346,0.7852688,0.6217098,0.88296413,0.2770815,0.29824638,0.17249107,0.32598877,0.13045025,0.64038944,0.9073181,1.3711281,0.37526703,0.09819794,0.25866222,0.23126316,0.1040926,0.32762337,0.6826544,0.9476328,0.85353374,0.013920784,0.6629467,0.24467278,-0.045012474,0.18792439,0.254776,0.32922745,0.05372238,0.33250427,0.5556736,0.57309914,0.83434963,1.1711836,0.97259617,0.3013754,0.5959883,0.94599056,0.5038729,0.43562698,0.17805481,0.64163876,0.78235817,0.49575138,0.54738617,0.7879467,0.19702244,0.37178135,0.294549,0.80771923,0.7345104,0.37277317,0.54298306,1.0970793,1.0570202,0.26322746,0.715847,0.8198948,0.12162876,0.46113777,0.4760418,0.7708702,1.2113028,0.60601234,0.54674435,0.5613575,1.0562115,0.63369083,0.73042774,0.7777338,0.5815582,0.21619129,1.0346832,1.1382351,1.2754965,0.7822695,1.2320375,1.174633,0.72068214,1.1516762,0.957057,0.7099161,0.97674274,0.6660032,0.44460297,0.5485296,0.99325275,0.7860651,0.98073673,1.0819826,0.5958309,1.0203276,0.92748165,0.67601967,0.76161575,1.9209766,0.3543749,0.10493374,0.77795124,0.8752737,0.3248682,0.49964142,1.0567799,0.96140194,0.7855749,0.7360573,0.7309351,0.115047455,0.7779541,0.59002686,0.6411581,0.83788013,1.2512217,1.5321198,0.05867386,0.7971964,0.82935905,1.1273241
2023-01-06,0.09817219,0.4784088,0.44077015,0.26208782,0.7698183,0.94840336,0.5313988,0.36378098,0.6975117,0.909647,0.60516834,0.6825371,1.3427076,0.62198544,0.15056992,0.7856693,1.0365801,0.3093624,0.8546953,0.35036182,0.36688805,1.2074594,1.22155,0.66288567,0.729579,1.1284027,0.54599285,0.9810009,0.54692364,0.2795725,0.8175783,0.22577858,1.0899754,0.9363327,0.7376127,0.87645626,0.6578932,0.8678341,0.30002594,0.2911272,0.09617329,0.299366,0.116324425,0.7989435,0.8920479,1.3796864,0.4417553,0.26229286,0.29849815,0.25086403,0.021564484,0.3323927,0.77236176,0.9350939,0.8240137,0.11570549,0.5594263,0.25697613,0.0155210495,0.1828394,0.31053638,0.31632614,0.14756966,0.33720112,0.58048344,0.49961185,0.8960562,1.146101,0.96387386,0.28547,0.47708035,0.95162296,0.55734634,0.34371853,0.14335823,0.6190672,0.6740694,0.45083523,0.43215084,0.75300026,0.2800417,0.3300724,0.33915997,0.7897377,0.8052912,0.34140396,0.53338337,1.0957775,1.0607615,0.30049706,0.62872887,0.7450886,0.040013313,0.52947235,0.3639784,0.7204342,1.0853195,0.54608154,0.51066303,0.55121136,1.0246134,0.60412693,0.6450939,0.6950989,0.41524792,0.14093113,1.1142693,1.1442766,1.2859011,0.7369976,1.2507601,1.2184143,0.6619501,1.1430702,0.8948746,0.78826046,1.0368099,0.70787716,0.44963932,0.50039196,0.9697399,0.7684355,0.9514141,0.9207134,0.5344286,0.86951923,0.95771027,0.6414356,0.8182955,1.9911127,0.26259422,-0.0016479492,0.76081944,0.7973051,0.37518406,0.542284,1.0929556,0.9495287,0.77468395,0.76953506,0.72299004,0.115792274,0.77667236,0.47841644,0.5576334,0.7756643,1.2404118,1.4625864,-0.05057907,0.73197746,0.7936983,1.1056118
2023-01-09,-0.063788414,0.4225769,0.32705975,0.19345379,0.66378593,0.890234,0.45515633,0.3088541,0.59512997,0.78126526,0.42983818,0.598855,1.281601,0.6300688,0.059191704,0.69308186,0.98843384,0.19378567,0.8705826,0.31958675,0.2294302,1.1577091,1.1893091,0.6225786,0.65441036,1.1215553,0.4645834,0.8036804,0.44257927,0.17241955,0.6794939,0.022399902,0.9052963,0.77454376,0.56010246,0.79150105,0.47691822,0.81129265,0.13586426,0.10864258,-0.10304165,0.16317272,0.00035953522,0.61781216,0.7972832,1.3138762,0.23638058,0.092824936,0.017542839,0.101537704,-0.1203537,0.22111416,0.587656,0.72908974,0.73197365,-0.08937836,0.49231625,0.13109875,-0.20039272,0.084466934,0.11357117,0.12915707,-0.07709408,0.15174198,0.59776306,0.4138193,0.7917385,1.145793,0.8860111,0.13161182,0.4253769,0.86443424,0.53441715,0.23811913,0.12928963,0.45979786,0.48655987,0.33610535,0.32281685,0.6598234,0.19164944,0.21096134,0.20810318,0.70212936,0.7943125,0.22212124,0.38907433,1.0009289,1.0139704,0.30748844,0.5562258,0.6326761,0.040902138,0.46848774,0.29319668,0.59916973,1.0279274,0.4201603,0.34622955,0.39774418,0.91219616,0.4771366,0.5538988,0.5528326,0.29738617,0.0400877,1.0522614,1.1082106,1.2780571,0.6509056,1.2003899,1.2229109,0.5609379,1.0803595,0.87579536,0.6972399,1.0168133,0.68271923,0.4899721,0.40132713,0.94255733,0.76396465,0.8600702,0.8718996,0.39701176,0.763711,0.9045315,0.512063,0.6880541,1.8122826,0.12448406,-0.14264297,0.5622091,0.68583107,0.2788372,0.3945017,1.0444689,0.8729849,0.61953545,0.7906437,0.70344543,-0.011288643,0.7396498,0.37472725,0.4600029,0.6799021,1.2834244,1.3806324,-0.13050747,0.6410179,0.7362871,0.9535885
2023-01-10,0.015724182,0.4533167,0.3806553,0.18927383,0.6859875,0.8495064,0.46103764,0.2657194,0.5591364,0.8167858,0.6405668,0.55915546,1.2626266,0.5674572,0.05266571,0.74671936,1.0445957,0.19559479,0.8141575,0.2850275,0.15972614,1.1703768,1.2123518,0.63207054,0.6677437,1.1043262,0.47782803,0.9512005,0.46209526,0.26236153,0.85864544,0.13344193,1.0832214,0.8558054,0.7835655,0.8452072,0.5818138,0.81024265,0.130023,0.10882568,-0.10064602,0.19391537,-0.042606354,0.8474932,0.9030752,1.3741312,0.33173656,0.2937374,0.12550259,0.22121239,-0.09447479,0.24555302,0.7871237,0.8190117,0.73515606,-0.09330368,0.5009451,0.10999203,0.017915726,0.04263878,0.33659172,0.20080948,0.1446228,0.23722649,0.5044317,0.40613747,0.8000984,1.1144714,0.910388,0.11723614,0.30926704,0.8112078,0.45828152,0.19369411,0.06976318,0.43962097,0.49641514,0.27272034,0.43762112,0.7063484,0.1415329,0.3220644,0.19182587,0.76959133,0.66587925,0.3029251,0.48819065,0.96945,1.0505896,0.1726942,0.49512196,0.6446285,-0.0045289993,0.46208286,0.3989601,0.6281557,1.099185,0.44836617,0.32362652,0.41723156,1.0320215,0.58190346,0.6368389,0.5830164,0.40737915,0.087062836,1.1025848,1.1447201,1.2000027,0.53971577,1.1565189,1.2465286,0.49306583,0.9475584,0.8611269,0.6293421,0.8951521,0.678915,0.45710373,0.37083626,0.96539116,0.7756624,0.86725044,0.76373386,0.35136414,0.7627115,0.91908836,0.56059456,0.7355776,1.9545603,0.3533039,-0.12159443,0.7524195,0.71281624,0.483819,0.5167942,1.0662556,0.81688976,0.7710104,0.83897686,0.75265884,0.25001907,0.7853174,0.34759998,0.4378357,0.7002516,1.1998863,1.4030046,-0.0967226,0.5602188,0.7577238,0.9569273
2023-01-11,0.08266163,0.4733305,0.521533,0.16406918,0.63983345,1.1531496,0.50954247,0.2966652,0.6037693,1.0178413,0.5730343,0.46442032,1.2717648,0.7772627,0.013263702,0.6975651,1.0190086,0.14534092,0.76889324,0.18836975,0.18425655,1.0867157,1.1771116,0.55704117,0.7027855,0.96138763,0.42366505,0.86188793,0.37988663,0.21212387,0.7266922,0.029241562,1.014554,0.8309355,0.7899742,0.8628845,0.53933144,0.78550816,0.099407196,0.09405804,-0.15344048,0.13050365,-0.08463955,0.8838625,0.8577347,1.3899851,0.3138218,0.29677296,0.12564564,0.14261627,-0.14666367,0.27176,0.8051481,0.81654644,0.75083065,-0.043379784,0.42826653,0.09934139,-0.027340889,0.05112934,0.3400631,0.08994484,0.17632294,0.2044468,0.4543171,0.45313072,0.7680397,1.0866184,0.94870377,0.10224342,0.23321342,0.7309618,0.44448376,0.12640095,-0.01104641,0.4927702,0.5420866,0.21687698,0.41862965,0.58141327,0.13538456,0.25034428,0.18611145,0.7718687,0.74056625,0.2872877,0.39632702,0.9269419,0.97909546,0.21934128,0.43214798,0.4841528,-0.029607773,0.45546627,0.4493332,0.58631516,1.1118078,0.36837292,0.25029373,0.2664585,0.92033386,0.46927738,0.5409498,0.41592693,0.36922264,0.051582336,1.1583376,1.2173691,1.2125673,0.45000267,1.0637875,1.2721529,0.47509766,0.95324326,0.7824116,0.57457733,0.8622494,0.5891695,0.4201517,0.2802353,0.9232569,0.83869934,0.82833576,0.7849598,0.2922325,0.7433243,0.9415798,0.43302345,0.73104954,1.9474812,0.26683807,-0.2628727,0.6726885,0.4924717,0.3995676,0.479743,0.99985313,0.77122974,0.6947851,0.85981274,0.7468624,0.21513653,0.6685314,0.30387115,0.38532257,0.6221638,1.2108059,1.451787,-0.16284943,0.5199928,0.7164402,0.89203453
2023-01-12,0.09938526,0.40287685,0.446146,0.18090248,0.69658184,0.9471054,0.43325424,0.3301592,0.6236315,0.8755369,0.5010748,0.59544086,1.2748003,0.65698814,0.120295525,0.74009514,1.047473,0.2370243,0.8051071,0.32927513,0.2277031,1.1490345,1.1867466,0.686924,0.6977148,1.0827665,0.47236443,1.0478582,0.4797411,0.34265518,0.9373188,0.23313046,1.177887,0.97154236,0.766551,0.8615904,0.5733776,0.79752064,0.17010784,0.17146397,-0.01354599,0.19230175,0.010277748,0.8232279,0.7999191,1.3089066,0.43424892,0.34429932,0.13866043,0.2208271,-0.09118843,0.2960844,0.68895245,0.83485126,0.76654816,-0.0064401627,0.50829506,0.17488575,0.045485497,0.087106705,0.3089609,0.25232124,0.116000175,0.24428177,0.7180166,0.4176569,0.7772808,1.0729752,0.8290663,0.11630535,0.30744457,0.75503826,0.46994686,0.22000122,0.114751816,0.5185375,0.45558453,0.20838451,0.27232552,0.6205902,0.246912,0.24563026,0.23581505,0.73300743,0.722723,0.2737484,0.4080534,1.0049896,0.9582367,0.16145325,0.4827013,0.5609789,-0.012422562,0.44833183,0.39496994,0.61762047,1.0148802,0.39726162,0.3524475,0.32914925,0.9293089,0.5603733,0.6253805,0.45603466,0.375988,0.049293518,1.0868464,1.0485401,1.2363615,0.51766205,1.1075706,1.2370205,0.4948387,0.92648983,0.8220291,0.6360874,0.939682,0.6319742,0.40317345,0.35127068,0.8281708,0.75363064,0.797348,0.79405403,0.36946678,0.7121439,0.9200611,0.61329937,0.79120445,1.9253407,0.2739458,-0.17796421,0.6427908,0.49652767,0.55433464,0.39811707,0.9569044,0.76971054,0.7650404,0.85461617,0.7253523,0.2389803,0.7494364,0.48870468,0.49166298,0.671278,1.1866055,1.3995571,-0.090239525,0.51709175,0.69599533,0.90971756
2023-01-13,0.026698112,0.44933987,0.4031868,0.083600044,0.5912266,0.97635746,0.38633156,0.2583685,0.57498264,0.83175373,0.47925186,0.51136684,1.2296648,0.70354366,0.008923531,0.56248856,0.9643688,0.1260271,0.79349804,0.24820232,0.13050652,1.0885334,1.0944214,0.60737705,0.6122141,1.0273399,0.4755535,0.9680109,0.4135437,0.2854643,0.85893345,0.17540073,1.0642519,0.9352007,0.71534634,0.7456684,0.47484112,0.73942757,0.14324188,0.12035847,-0.15771008,0.09556198,-0.022099495,0.70050526,0.74635696,1.2386446,0.2865076,0.20032692,0.082595825,0.12982845,-0.12854862,0.23456287,0.60925484,0.74302673,0.7090168,-0.09745979,0.462142,0.1022253,-0.085351944,0.013867378,0.1564455,0.09829712,0.02003479,0.14403057,0.53663445,0.37902737,0.73258305,1.0530005,0.7963066,0.03533268,0.19960594,0.706233,0.35050583,0.13759232,0.09947395,0.3629303,0.3307886,0.13432693,0.25642586,0.59112835,0.20422459,0.2200222,0.12379837,0.68387127,0.61827946,0.26304245,0.38484,1.0013971,0.9764662,0.13956833,0.47558975,0.50726795,0.041891098,0.38900852,0.36217022,0.59087086,1.0579004,0.4162016,0.26910305,0.19902802,0.9016752,0.48855972,0.5702257,0.4305725,0.31516647,-0.035464287,1.0856104,1.0700312,1.2085371,0.44861603,1.1533241,1.1845808,0.4728241,0.91433525,0.74514484,0.5932884,0.86037064,0.61679935,0.42052078,0.33486748,0.8294029,0.752594,0.7659302,0.77770233,0.32405186,0.592227,0.88903904,0.64282894,0.73298836,1.8952923,0.15318012,-0.2847252,0.6437321,0.41774654,0.49143887,0.33114052,0.96496296,0.63478565,0.71601963,0.866127,0.7644253,0.2743168,0.7956953,0.32627583,0.4481678,0.71280384,1.1928482,1.3722801,-0.09654713,0.48893642,0.6970787,0.7845764
2023-01-16,0.00187397,0.31739426,0.3554182,0.20490646,0.6374321,0.95276356,0.46157742,0.3164692,0.54094887,0.8978758,0.37316704,0.5036335,1.2446232,0.71715546,0.15289688,0.7942724,1.0141649,0.20144844,0.6466322,0.34928226,0.19641876,1.1156788,1.2140551,0.6873045,0.77838993,0.98494816,0.37444496,0.8860302,0.45062542,0.29208183,0.7683916,0.114398,0.9816294,0.8666134,0.71654797,0.81064606,0.3972187,0.7572079,0.09411049,0.039120674,-0.18078518,0.15003681,-0.09351635,0.74500465,0.7223263,1.1859217,0.27913857,0.25473976,0.04442978,0.1086216,-0.10491848,0.21675682,0.64388657,0.74691105,0.7275486,-0.04257965,0.40544796,0.08617592,-0.06597042,0.023870468,0.18602657,0.16091251,0.08876419,0.11873913,0.63605595,0.37139988,0.7569809,1.1078529,0.8479605,0.16496563,0.24942017,0.8340616,0.5139818,0.18130493,-0.02641964,0.49290848,0.36423588,0.19072533,0.18420029,0.5240965,0.10062218,0.15663815,0.13578892,0.62174606,0.7891102,0.20312977,0.32120705,0.87624836,0.8922396,0.22164154,0.394742,0.4310398,-0.083631516,0.33855343,0.2611065,0.5221615,0.9401226,0.3199482,0.225173,0.19576836,0.8018875,0.4137907,0.47779655,0.38376522,0.18832493,0.02331543,1.0517206,1.1390095,1.125782,0.3021536,1.0649033,1.1884747,0.452713,0.90727615,0.652174,0.547493,0.81646633,0.46976185,0.3713026,0.19036198,0.78401375,0.6326647,0.75615597,0.67396164,0.16541672,0.55826664,0.8403597,0.4478302,0.6965666,1.790534,0.14703369,-0.33072186,0.5588436,0.44051552,0.33089352,0.3036766,0.9095087,0.7267122,0.5629816,0.6946316,0.5492487,0.08364582,0.6520796,0.31208134,0.35801506,0.6184244,1.1462183,1.3419962,-0.22208786,0.4896345,0.6620388,0.88208866
